question, answer
what happened in may 1803?,the treaty had collapsed because britain refused to evacuate malta and napoleon failed to guarantee dutch independence.
what did napoleon plan to do in 1804?,invade england
how many men and vessels did napoleon station at boulogne?,150,000 men and 2000 vessels
what was the purpose of distracting the british navy?,to encourage them to chase the french fleet from toulon to the west indies,then back to france,thus clearing the channel for invasion.
what happened to the returning villeneuve off cape finisterre?,the british attacked the returning villeneuve
what did napoleon do after the british attacked the returning villeneuve?,he abandoned his invasion plans
what happened to napoleon's body after he died?,his heart and intestines were removed and put into sealed vessels,a standard treatment for the bodies of monarchs.
what happened to his body after that?,it was smuggled out of the island by his chaplain and would end up being bought and sold over the years by various parties,eventually ending up on display in 1927 at new york city's museum of french art.
what was napoleon's cause of death?,there is historical and medical debate around what caused the death of 'old bony',as the english nicknamed him.
who said it was stomach cancer?,antommarchi said it was stomach cancer.
who claimed that napoleon had in fact been poisoned with arsenic?,in 1961,a swedish amateur toxicologist claimed that napoleon had in fact been poisoned with arsenic and pointed the finger at one of his french entourage.
what else have researchers pointed out?,other researchers have pointed out that,in that era,arsenic was found in a range of materials in daily use and people were constantly exposed to it.
what other causes have been claimed?,others have claimed it was either a peptic ulcer or gastric cancer.
what was napoleon's military career like?,napoleon was one of the most successful generals of the french revolutionary armies.
what was his rank in the french army?,he was commander of the french army by 1796.
what did he do in 1798?,he conquered ottoman-ruled egypt in 1798.
what did he do when he returned to france in 1799?,he became the country's 'first consul',going on to become emperor in 1804.
what happened at the battle of marengo in 1800?,napoleon defeated the austrians,thus establishing france's power over continental europe.
what was the peace of amiens?,the peace of amiens was signed in 1802,marking the end of the french revolutionary war.
what happened in may 1803?,the treaty had collapsed because britain refused to evacuate malta and napoleon failed to guarantee dutch independence.
what happened in 1804?,britain again declared war on france,later followed by austria and russia.
what was napoleon's plan in 1804?,he planned to invade england,stationing 150,000 men and 2000 vessels at boulogne with the intention of crossing the english channel.
what was part of the plan?,part of the plan involved distracting the british navy by encouraging them to chase the french fleet,under the command of vice-admiral villeneuve,from toulon to the west indies,then back to france,thus clearing the channel for invasion.
what happened to the plan?,the british got wind of the plan and attacked the returning villeneuve off cape finisterre,forcing the franco-spanish fleet to retreat away from the channel and napoleon abandoned his invasion plans.
what was the name of the battle where the british successfully attacked the franco-spanish fleet?,battle of trafalgar
who was the french emperor who refocused his efforts on attacking austro-russian forces?,napoleon
when did napoleon defeat the prussians at jena and auerstedt?,1806
when and where did napoleon defeat the russians at eylau and friedland?,1807,eylau and friedland
what was the name of the blockade that napoleon imposed in order to stop british european trade?,continental blockade
when was the peninsula war?,1808
what was the name of the french emperor who overstretched his empire with the 1812 russian campaign?,napoleon
how many men did napoleon lose in the 1812 russian campaign?,over 500,000
when was napoleon defeated at leipzig?,1813
